FID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,species_na,code,Shape_Leng,Shape_Area,area
1268,41830,Isistius brasiliensis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,DALATIIDAE,Isistius,brasiliensis,LC,476.1040648,182.8618348,2127110
1269,161401,Dasyatis thetidis,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,DASYATIDAE,Dasyatis,thetidis,LC,417.1083561,107.1732091,1083350
1270,161365,Potamotrygon schroederi,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,POTAMOTRYGONIDAE,Potamotrygon,schroederi,DD,96.27282754,64.2409112,789813
1271,39399,Raja clavata,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Malacoraja,clavata,NT,2256.847374,591.9654109,5249360
1272,39328,Squatina californica,1,1,1,GMSA,2009,International Union for Conservation of Nature, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUATINIFORMES,SQUATINIDAE,Squatina,californica,NT,564.2810965,78.28408975,735121
1273,63121,Psammobatis lentiginosa,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Psammobatis,lentiginosa,DD,43.77087013,20.32699035,193128
1274,195465,Notoraja azurea,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Notoraja,azurea,LC,122.3554613,62.02562279,611067
1275,44212,Apristurus herklotsi,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,herklotsi,DD,66.51144528,28.40633385,326670
1276,41064,Rhinobatos horkelii,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RHINOBATIDAE,Rhinobatos,horkelii,CR,96.29101364,13.15127016,135686
1277,60154,Dasyatis hypostigma,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,DASYATIDAE,Dasyatis,hypostigma,DD,85.86264638,29.19916681,321419
1278,41850,Rhizoprionodon acutus,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Rhizoprionodon,acutus,LC,3605.711459,1278.381112,15203200
1279,60183,Chimaera cubana,1,1,1,IUCN,0,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CHIMAERIFORMES,CHIMAERIDAE,Chimaera,cubana,DD,158.4626361,38.44119226,446269
1280,158616,Squalus altipinnis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SQUALIDAE,Squalus,altipinnis,DD,23.48336319,9.114663419,107327
1281,161445,Narcine timlei,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Narcine,timlei,DD,852.0383849,133.7430858,1577870
1282,161454,Bathyraja isotrachys,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,isotrachys,LC,511.9603464,242.9485358,2156470
1283,60136,Torpedo sinuspersici,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,TORPEDINIDAE,Torpedo,sinuspersici,DD,563.7238379,123.3327605,1426240
